Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,Installation Type,Drain Placement,Colors,Shape,Theme,Therapy Type,Material,Water Capacity,UPC,Collection,Length,Width,Height,Depth,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer,Features
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700331000000090-starck-new-59-x-27-1-2-inch-rectangle-base-bathtub-built-in-or-for-panel-with-one-backrest-slope.html,"Duravit 700331000000090 Starck New 59 x 27-1/2 Inch Rectangle Base Bathtub, Built-In or for Panel, with One Backrest...",7.00331E+14,$600.76 ,43%,"$1,045.00 ",https://www.kbauthority.com/images/T/58/1990512_web2_prod_normal_2.jpg,"Duravit 700331000000090 Starck New 59 x 27-1/2 Inch Rectangle Base Bathtub, Built-In or for Panel, with One Backrest Slope
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home.
Features:      
				Mounting type
				Built-in
				Capacity (gallons)
				45
				Material
				Brass
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Reversible
				Tub Shape
				Rectangle
				Installation type
				Drop In
				Width
				27-1/2""
				Length
				59""
				Depth
				18-1/8""
Includes: 
		1/4"" sanitary acrylic
				Accessory for bath- and whirltub
				Headrest white
790010 
				Waste and overflow chrome
790220 
				Tile flange
790112 
				Support frame height adjustable from 4 7/8"" - 7 3/4"", for bathtubs
790108 
				Bathtub anchors for mounting and support of bathtubs and shower trays, 3 pieces
790103 
				Suitable panels
				Furniture panel for corner right, for # 700331 (59"" x 27 1/2"")
27 1/8"" x 58 5/8"" Inch 
ST8915 
				Furniture panel for niche (alcove), for # 700331 (59"" x 27 1/2""), for # 700332 (59"" x 29 1/2"")
ST8936 
				Furniture panel for corner left, for # 700331 (59"" x 27 1/2"")
27 1/8"" x 58 5/8"" Inch 
ST8908 
				Furniture panel back-to-wall, for # 700331 (59"" x 27 1/2"")
29 1/8"" x 58 1/4"" Inch 
ST8922 
See Related Products Below
SKU: 700331000000090",Drop In,Reversible,Whites,Rectangular,Modern,Soaking,Acrylic,40 to 50 Gallons,4.02153E+12,Starck,59,27.5,23.63,18.13,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700331.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410311.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410312.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410313.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410314.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410315.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410316.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700028000000090-daro-70-7-8-x-31-1-2-inch-rectangle-base-bathtub-built-in-with-two-backrest-slopes.html,"Duravit 700028000000090 Daro 70-7/8 x 31-1/2 Inch Rectangle Base Bathtub, Built-In, with Two Backrest Slopes",7.00028E+14,"$1,146.90 ",43%,"$1,995.00 ",https://www.kbauthority.com/images/T/29/1596445_web2_prod_normal_2.jpg,"Duravit 700028000000090 Daro 70-7/8 x 31-1/2 Inch Rectangle Base Bathtub, Built-In, with Two Backrest Slopes
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home. 
Features:           
				Capacity (gallons)
				40 to 50
				Material
				Acrylic
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Center
				Tub Shape
				Rectangle
				Installation type
				Drop In
				Width
				25.6""
				Basin Length
				65.75""
				Overall Length
				70.87""
				Depth
				18.11""
				Height
				18.7""
				ADA
				No
				Apron Front
				No
Includes:                                                                                          
		Two backrest slopes                                                          
		1/4"" sanitary acrylic
SKU: 700028000000090",Drop In,Center,Whites,Rectangular,Modern,Soaking,Acrylic,40 to 50 Gallons,4.02153E+12,Daro,70.88,31.5,18.88,18.13,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700028.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410357.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410358.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700100000000092-d-code-66-7-8-x-29-1-2-inch-rectangle-with-one-backrest-slope-bathtub-individually-packed.html,Duravit 700100000000092 D-Code 66 7/8 x 29 1/2 Inch Rectangle with One Backrest Slope Bathtub (Individually Packed),7.001E+14,$589.26 ,43%,"$1,025.00 ",https://www.kbauthority.com/images/T/313/700100000000092_Duravit.png,"Duravit 700100000000092 D-Code 66 7/8 x 29 1/2 Inch Rectangle with One Backrest Slope Bathtub (Individually Packed)
	Duravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.
	Of Course, Good Design Isn’T Everything, But All the Same a Well-Designed Object Makes Life More Pleasant.Even more so If It is Affordable. D-Code From Duravit is a New Kind of Bathroom Range – Complete From Washbasin to Towel Rail, Consistently Designed Throughout and with an Excellent Value.
	D-Code Offers Four Bathtubs with Backrest (59"" X 29 1/2"", 63"" X 27 1/2"", 66 7/8"" X 29 1/2"" and 70 7/8"" X 31 1/2"") and the Choice Between the Classical Variant with Outlet in the Foot Area and a Variant with a Central Drain. No Outlet can Get in the Way when Taking a Shower. Additional Option: D-Code Bathtub with Integrated Tile Flange, Available in Size 60"" X 32"".
Features:
		Rectanglewith One Backrest Slope
		Outlet in Foot Area
		cUPC Listed*
		Sanitary Acrylic
		D-Code Collection
Dimensions:
		Length: 66.875 Inch
		Width: 29.5 Inch
		Depth: 15.75 Inch
SKU: 700100000000092",Drop In,Center,Whites,Rectangular,Transitional,Soaking,Acrylic,40 to 50 Gallons,4.05342E+12,D-Code,66.88,29.5,18.88,15.75,,"https://www.kbauthority.com/files/PDF/Duravit/700100.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/409550.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409551.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409552.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700332000000090-starck-new-59-x-29-1-2-inch-rectangle-base-bathtub-built-in-or-for-panel-with-one-backrest-slope.html,"Duravit 700332000000090 Starck New 59 x 29-1/2 Inch Rectangle Base Bathtub, Built-In or for Panel, with One Backrest...",7.00332E+14,$819.24 ,29%,"$1,155.00 ",https://www.kbauthority.com/images/T/9/1990513_web2_prod_normal_2-01.jpg,"Duravit 700332000000090 Starck New 59 x 29-1/2 Inch Rectangle Base Bathtub, Built-In or for Panel, with One Backrest Slope
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home.
Features:      
				Mounting type
				Built-in
				Capacity (gallons)
				45
				Material
				Acrylic
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Right
				Tub Shape
				Rectangle
				Installation type
				Drop In
				Width
				29-1/2""
				Length
				59""
				Depth
				23-3/5""
Includes: 
		1/4"" sanitary acrylic
				Accessory for bath- and whirltub
				Headrest white
790010 
				Waste and overflow chrome
790220 
				Tile flange
790112 
				Support frame height adjustable from 4 7/8"" - 7 3/4"", for bathtubs
790108 
				Bathtub anchors for mounting and support of bathtubs and shower trays, 3 pieces
790103 
				Suitable panels
				Furniture panel for niche (alcove), for # 700331 (59"" x 27 1/2""), for # 700332 (59"" x 29 1/2"")
ST8936 
				Furniture panel back-to-wall, for # 700332 (59"" x 29 1/2"")
29 1/8"" x 58 1/4"" Inch 
ST8923 
				Furniture panel for corner left, for # 700332 (59"" x 29 1/2"")
29 1/8"" x 58 5/8"" Inch 
ST8909 
				Furniture panel for corner right, for # 700332 (59"" x 29 1/2"")
29 1/8"" x 58 5/8"" Inch 
ST8916 
See Related Products Below
SKU: 700332000000090",Drop In,Right,Whites,Rectangular,Modern,Soaking,Acrylic,40 to 50 Gallons,4.02153E+12,Starck,59,29.5,23.63,18.13,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700332.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410308.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410309.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410310.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700406000000090-d-code-60-x-32-inch-rectangle-drop-in-with-integrated-tile-flange-drain-left-bathtub.html,"Duravit 700406000000090 D-Code 60 x 32 Inch Rectangle Drop-In with Integrated Tile Flange, Drain Left Bathtub",7.00406E+14,$623.78 ,23%,$815.00 ,https://www.kbauthority.com/images/T/310/700406000000090_Duravit.png,"Duravit 700406000000090 D-Code 60 x 32 Inch Rectangle Drop-In with Integrated Tile Flange, Drain Left Bathtub
	Duravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.
	Of Course, Good Design Isn’T Everything, But All the Same a Well-Designed Object Makes Life More Pleasant.Even more so If It is Affordable. D-Code From Duravit is a New Kind of Bathroom Range – Complete From Washbasin to Towel Rail, Consistently Designed Throughout and with an Excellent Value.
	D-Code Offers Four Bathtubs with Backrest (59"" X 29 1/2"", 63"" X 27 1/2"", 66 7/8"" X 29 1/2"" and 70 7/8"" X 31 1/2"") and the Choice Between the Classical Variant with Outlet in the Foot Area and a Variant with a Central Drain. No Outlet can Get in the Way when Taking a Shower. Additional Option: D-Code Bathtub with Integrated Tile Flange, Available in Size 60"" X 32"".
Features:
		Rectangle
		Drop-Inwith Integrated Tile Flange
		Drain Left
		cUPC Listed*
		Sanitary Acrylic
		D-Code Collection
Dimensions:
		Length: 60 Inch
		Width: 32 Inch
		Depth: 15.75 Inch
		Height: 16.5 Inch
SKU: 700406000000090",Drop In,Right,Whites,Rectangular,Transitional,Soaking,Acrylic,40 to 50 Gallons,4.05342E+12,D-Code,60,32,16.5,15.75,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700406.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/409596.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409597.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409598.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700009000000090-starck-tub-70-7-8-x-31-1-2-inch-oval-base-bathtub-built-in-with-two-backrest-slopes.html,"Duravit 700009000000090 Starck Tub 70-7/8 x 31-1/2 Inch Oval Base Bathtub, Built-in, with Two Backrest Slopes",7.00009E+14,"$1,808.02 ",43%,"$3,145.00 ",https://www.kbauthority.com/images/T/54/1596715_web2_prod_normal_2.jpg,"Duravit 700009000000090 Starck Tub 70-7/8 x 31-1/2 Inch Oval Base Bathtub, Built-in, with Two Backrest Slopes
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home. 
Features:           
				Mounting type
				Built-in
				Capacity (gallons)
				45
				Material
				Acrylic
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Center
				Tub Shape
				Oval
				Installation type
				Drop-in
				Width
				31.50""
				Basin Length
				65.75""
				Overall Length
				70.87""
				Depth
				18.90""
				ADA
				No
				Apron Front
				No
Includes:                                                                                          
		Two backrest slope                                                             
		1/4"" sanitary acrylic
SKU: 700009000000090",Drop In,Center,Whites,Oval,Transitional,Soaking,Acrylic,40 to 50 Gallons,4.02153E+12,Starck,70.87,31.5,20.5,18.9,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700009.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410367.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410368.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700010000000090-starck-tub-70-7-8-x-31-1-2-inch-oval-base-bathtub-free-standing-with-two-backrest-slopes.html,"Duravit 700010000000090 Starck Tub 70-7/8 x 31-1/2 Inch Oval Base Bathtub, Free-Standing, with Two Backrest Slopes",7.0001E+14,"$2,602.84 ",44%,"$4,620.00 ",https://www.kbauthority.com/images/T/54/1596715_web2_prod_normal_2.jpg,"Duravit 700010000000090 Starck Tub 70-7/8 x 31-1/2 Inch Oval Base Bathtub, Free-Standing, with Two Backrest Slopes
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home. 
Features:           
				Mounting type
				Built-in
				Capacity (gallons)
				39
				Material
				Acrylic
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Center
				Tub Shape
				Oval
				Installation type
				Free Standing
				Width
				31.49""
				Basin Length
				64.57""
				Overall Length
				70.87""
				Depth
				18.11""
				Height
				26.62""
				ADA
				No
				Apron Front
				Yes
Includes:                                                                                          
		Two backrest slopes                                                            
		With acrylic panel and support frame
		Freestanding
		1/4"" sanitary acrylic
SKU: 700010000000090",Free Standing,Center,Whites,Oval,Transitional,Soaking,Acrylic,30 to 40 Gallons,4.02153E+12,Starck,70.88,31.63,23.63,18.13,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700010.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410363.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410364.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant / Apron Front
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700011000000090-starck-tub-74-3-4-x-35-1-2-inch-oval-base-bathtub-built-in-with-two-backrest-slopes.html,"Duravit 700011000000090 Starck Tub 74-3/4 x 35-1/2 Inch Oval Base Bathtub, Built-In, with Two Backrest Slopes",7.00011E+14,"$2,233.43 ",43%,"$3,885.00 ",https://www.kbauthority.com/images/T/54/1596716_web2_prod_normal_2.jpg,"Duravit 700011000000090 Starck Tub 74-3/4 x 35-1/2 Inch Oval Base Bathtub, Built-In, with Two Backrest Slopes
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home. 
Features:           
				Mounting type
				Built-in
				Capacity (gallons)
				59.4
				Material
				Acrylic
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Center
				Tub Shape
				Oval
				Installation type
				Drop-in
				Width
				35.43""
				Basin Length
				69.69""
				Overall Length
				74.80""
				Depth
				18.11""
				Height
				20.47""
				ADA
				No
				Apron Front
				No
Includes:                                                                                          
		Two backrest slopes                                                            
		1/4"" sanitary acrylic
SKU: 700011000000090",Drop In,Center,Whites,Oval,Transitional,Soaking,Acrylic,50 to 60 Gallons,4.02153E+12,Starck,74.88,35.5,20.5,18.13,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700011.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410365.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410366.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700012000000090-starck-tub-74-3-4-x-35-1-2-inch-oval-base-bathtub-free-standing-with-two-backrest-slopes.html,"Duravit 700012000000090 Starck Tub 74-3/4 x 35-1/2 Inch Oval Base Bathtub, Free-Standing, with Two Backrest Slopes",7.00012E+14,"$3,078.90 ",44%,"$5,465.00 ",https://www.kbauthority.com/images/T/54/1596715_web2_prod_normal_2.jpg,"Duravit 700012000000090 Starck Tub 74-3/4 x 35-1/2 Inch Oval Base Bathtub, Free-Standing, with Two Backrest Slopes
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home. 
Features:           
				Capacity (gallons)
				59.5
				Material
				Acrylic
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Center
				Tub Shape
				Oval
				Installation type
				Free Standing
				Width
				35.43""
				Basin Length
				69.7""
				Overall Length
				74.8""
				Depth
				18.11""
				Height
				25.2""
				ADA
				No
				Apron Front
				Yes
Includes:                                                                                          
		Two backrest slopes                                                            
		With acrylic panel and support frame
		Freestanding
		1/4"" sanitary acrylic
SKU: 700012000000090",Free Standing,Center,Whites,Oval,Transitional,Soaking,Acrylic,50 to 60 Gallons,4.02153E+12,Starck,74.75,35.5,25.25,18.13,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700012.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410361.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410362.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant / Apron Front
Home > Bath > All Bath Brands > Duravit>Bathtubs,https://www.kbauthority.com/duravit-700027000000090-daro-66-7-8-x-29-1-2-inch-rectangle-base-bathtub-built-in-with-one-backrest-slope.html,"Duravit 700027000000090 Daro 66-7/8 x 29-1/2 Inch Rectangle Base Bathtub, Built-In, with One Backrest Slope",7.00027E+14,"$1,023.29 ",43%,"$1,780.00 ",https://www.kbauthority.com/images/T/54/1596444_web2_prod_normal_2.jpg,"Duravit 700027000000090 Daro 66-7/8 x 29-1/2 Inch Rectangle Base Bathtub, Built-In, with One Backrest Slope
Since 1817, Duravit has proudly manufactured the industry standard in plumbing fixtures. Today, Duravit soaking bathtubs bring an elegance to bathrooms that few other bathtubs can match. All made of durable sanitary acrylic and coated with a crisp White Alpin finish, Duravit soaking bathtubs are as much a functional investment as they are a sophisticated focal point. These deep, luxurious baths allow for full immersion in the water, making Duravit soaking bathtubs a desirable addition to any home. 
Features:           
				Capacity (gallons)
				40
				Material
				Acrylic
				Occupancy
				Single
				Slip resistance surface
				No
				Drain placement
				Adjustable
				Tub Shape
				Rectangle
				Installation type
				Drop In
				Width
				29.52""
				Basin Length
				61.81""
				Overall Length
				66.93""
				Depth
				18.11""
				Height
				19.1""
				ADA
				No
				Apron Front
				No
Includes:                                                                                          
		One backrest slopes                                                          
		1/4"" sanitary acrylic
SKU: 700027000000090",Drop In,Reversible,Whites,Rectangular,Modern,Soaking,Acrylic,40 to 50 Gallons,4.02153E+12,Daro,66.88,29.5,18.88,18.13,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_700027.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410359.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410360.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",ADA Compliant
