Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,UPC,Collection,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-225815-happy-d.2-14-x-21-1-4-inch-bidet-wall-mounted.html,"DURAVIT 2258150000 HAPPY D.2 14 X 21-1/4 INCH BIDET WALL-MOUNTED, DURAVIT 22581500001 HAPPY D.2 14 X 21-1/4 INCH...",2258150000,$277.67,38%,$450.00,https://www.kbauthority.com/images/T/13/1653764_web2_prod_normal_2-01-01.jpg,"Duravit 225815 Happy D.2 14 x 21-1/4 Inch Bidet Wall-Mounted
Individuality, elegance, and precision define the Duravit brand. From high efficiency toilets to vanity consoles, Duravit's team of top notch designers will fill your home with style and functionality.
		Features: 
			Wall-mounted
			With overflow
			With tap platform
			Overflow clip chrome included
			Durafix included
			White finish
			Optional WonderGliss
Optional WonderGliss:
			With WonderGliss
			Without WonderGliss
Available Finishes:
			White
			Anthracite Matte
SKU:  2258151300 22581513001  2258150000 22581500001",04021534855870,Happy D.2,"22581500001
With WonderGliss White 
$344.99
2258150000
Without WonderGliss White 
$277.67
22581513001
With WonderGliss Anthracite Matte 
$409.77
2258151300
Without WonderGliss Anthracite Matte 
$356.25","https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_225815.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/408334.png,https://www.kbauthority.com/images/D.cache.dpicon/410576.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410577.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410578.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-228310-durastyle-14-5-8-x-24-3-4-inch-bidet-floorstanding.html,"DURAVIT 2283100000 DURASTYLE 14-5/8 X 24-3/4 INCH BIDET FLOORSTANDING, DURAVIT 22831000001 DURASTYLE 14-5/8 X 24-3/4...",2283100000,$198.79,36%,$310.00,https://www.kbauthority.com/images/W/329/2283100000_Duravit_Without_WonderGliss.jpg,"Duravit 228310 DuraStyle 14-5/8 x 24-3/4 Inch Bidet Floorstanding
Individuality, elegance, and precision define the Duravit brand. From high efficiency toilets to vanity consoles, Duravit's team of top notch designers will fill your home with style and functionality.
		Features:  
			Floorstanding bidet
			With overflow
			With tap platform
			Installation parts included
			White finish
			Optional WonderGliss
Optional WonderGliss:
			With WonderGliss: 22831000001
			Without WonderGliss: 2283100000
SKU: 22831000001 2283100000",04021534854361,DuraStyle,"22831000001
With WonderGliss 
$252.31
2283100000
Without WonderGliss 
$198.79",,"https://www.kbauthority.com/images/D.cache.dpicon/409377.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409378.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409379.jpg,https://www.kbauthority.com/images/W/329/2283100000_Duravit_Without_WonderGliss.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-228615-durastyle-14-5-8-x-24-3-8-inch-wall-mounted-bidet.html,"DURAVIT 2286150000 DURASTYLE 14-5/8 X 24-3/8 INCH WALL-MOUNTED BIDET, DURAVIT 22861500001 DURASTYLE 14-5/8 X 24-3/8...",2286150000,$260.76,38%,$420.00,https://www.kbauthority.com/images/W/329/2286150000_Duravit_Without_WonderGliss.jpg,"Duravit 228615 DuraStyle 14-5/8 x 24-3/8 Inch Wall-Mounted Bidet
Individuality, elegance, and precision define the Duravit brand. From high efficiency toilets to vanity consoles, Duravit's team of top notch designers will fill your home with style and functionality.
		Features:   
			Wall-mounted
			With overflow
			With tap platform
			Durafix included
			White finish
			Optional WonderGliss
Optional WonderGliss:
			With WonderGliss: 22861500001
			Without WonderGliss: 2286150000
SKU: 2286150000 22861500001",04021534909139,DuraStyle,"22861500001
With WonderGliss 
$328.08
2286150000
Without WonderGliss 
$260.76",,"https://www.kbauthority.com/images/D.cache.dpicon/409380.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409381.jpg,https://www.kbauthority.com/images/D.cache.dpicon/409382.jpg,https://www.kbauthority.com/images/W/329/2286150000_Duravit_Without_WonderGliss.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-223010-starck-3-14-3-8-x-22-inch-bidet-floorstanding.html,"DURAVIT 2230100000 STARCK 3 14-3/8 X 22 INCH BIDET FLOORSTANDING, DURAVIT 22301000001 STARCK 3 14-3/8 X 22 INCH BIDET...",2230100000,$224.14,37%,$355.00,https://www.kbauthority.com/images/T/6/49292_web2_prod_normal_2-01-01.jpg,"Duravit 223010 Starck 3 14-3/8 x 22 Inch Bidet Floorstanding
Individuality, elegance, and precision define the Duravit brand. From high efficiency toilets to vanity consoles, Duravit's team of top notch designers will fill your home with style and functionality.
		Features:  
			Floorstanding
			With overflow
			With tap platform
			Installation parts included
			Optional WonderGliss
			White finish
			Material: porcelain
			Elongated bowl
Optional WonderGliss: 
			With WonderGliss: 22301000001
			Without WonderGliss: 2230100000
SKU: 22301000001 2230100000",04021534223754,Starck 3,"22301000001
With WonderGliss 
$277.67
2230100000
Without WonderGliss 
$224.14","https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_223010.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/408328.png,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-22381000002-d-code-13-3-4-x-21-1-4-inch-bidet-floorstanding.html,DURAVIT 22381000002 D-CODE 13-3/4 X 21-1/4 INCH BIDET FLOORSTANDING,22381000002,$176.25, 35%,$270.00,https://www.kbauthority.com/images/T/14/44974_web2_prod_normal_2-01-01.jpg,"Duravit 22381000002 D-Code 13-3/4 x 21-1/4 Inch Bidet Floorstanding
Of course, good design isn’t everything, but all the same a welldesigned object makes life more pleasant. All the more so if it is affordable. D-Code from Duravit is a new kind of bathroom range – complete from washbasin to towel rail, consistently designed throughout and excellent value for money. Its appearance is restrained, featuring rectangular forms with rounded edges – the classic washbasin shape, in fact, that does not impose itself but rather blends with its surroundings. This is what makes D-Code so timelessly modern – a hallmark of good design. With alternatives and solutions for all imaginable bathroom situations, D-Code is a bathroom range that many people have been waiting for – including you perhaps.
		Features 
			Floor Standing
			With Overflow
			With Tap Platform
			Installation parts Included
			White finish
			Material: porcelain
			Elongated Bowl
SKU: 22381000002",04021534395468,D-Code,,"https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_223810.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410570.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410571.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410572.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-223915-vero-14-5-8-x-21-1-4-inch-bidet-wall-mounted.html,"DURAVIT 2239150000 VERO 14-5/8 X 21-1/4 INCH BIDET WALL-MOUNTED, DURAVIT 22391500001 VERO 14-5/8 X 21-1/4 INCH BIDET...",2239150000,$539.35,39%,$890.00,https://www.kbauthority.com/images/T/14/51079_web2_prod_normal_2-01-01.jpg,"Duravit 223915 Vero 14-5/8 x 21-1/4 Inch Bidet Wall-Mounted
Cinema screen or computer monitor, fridge or milk carton, a room, a table, this brochure: our world is inconceivable without the rectangle. Perhaps this is why we are so attracted to Vero: the forms of this ceramic range are entirely restricted to the rectangle. It’s a restriction that gives rise to new possibilities: this is because Vero is one of the most versatile ceramic ranges of all time. With minimalist design at its core and the strong support of Duravit’s ceramic tradition and expertise, Vero is impressive in terms of its form, function and quality.
		Features:
			Wall-mounted
			With overflow
			With tap platform
			Material: porcelain
			Bowl shape: rectangular
			Available in two finishes
Available Finishes: 
			White
			Black
WonderGliss Options:
			Without WonderGliss
			With WonderGliss
SKU: 22391508001 22391500001",04021534402173,Vero,"2239150000
White Without WonderGliss 
$539.35
2239150800
Black Without WonderGliss 
$746.49
22391500001
White With WonderGliss 
$592.87
22391508001
Black With WonderGliss 
$800.01","https://www.kbauthority.com/files/PDF/Duravit/223915.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/408329.png,https://www.kbauthority.com/images/D.cache.dpicon/410567.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410568.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410569.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-224010-vero-14-5-8-x-22-1-2-inch-bidet-floorstanding-with-wondergliss.html,"DURAVIT 2240100000 VERO 14-5/8 X 22-1/2 INCH BIDET FLOORSTANDING WITH WONDERGLISS, DURAVIT 22401000001 VERO 14-5/8 X...",2240100000,$591.56,44%,$1050.00,https://www.kbauthority.com/images/T/14/51090_web2_prod_normal_2-01-01.jpg,"Duravit 224010 Vero 14-5/8 x 22-1/2 Inch Bidet Floorstanding with WonderGliss
Cinema screen or computer monitor, fridge or milk carton, a room, a table, this brochure: our world is inconceivable without the rectangle. Perhaps this is why we are so attracted to Vero: the forms of this ceramic range are entirely restricted to the rectangle. It’s a restriction that gives rise to new possibilities: this is because Vero is one of the most versatile ceramic ranges of all time. With minimalist design at its core and the strong support of Duravit’s ceramic tradition and expertise, Vero is impressive in terms of its form, function and quality.
		Features:
			Floorstanding
			With overflow
			With Tap Platform
			Installation parts Included
			Available in two finishes
			WonderGliss
			Rectangular bowl
			Material: porcelain
Tap Hole Option:
			One tap hole
Available Finishes:
			White
			Black
WonderGliss Options:
			Without WonderGliss
			With WonderGliss
Faucet Hole Options:
			One Hole
			Three Holes
SKU: 22401000301 22401000001 22401008001 22401008301",04021534402050,Vero,"2240100000
White Without WonderGliss One Hole 
$591.56
2240100800
Black Without WonderGliss One Hole 
$797.19
22401000001
White With WonderGliss One Hole 
$645.08
22401008001
Black With WonderGliss One Hole 
$850.71
2240100030
White Without WonderGliss Three Holes 
$628.95
2240100830
Black Without WonderGliss Three Holes 
$797.19
22401000301
White With WonderGliss Three Holes 
$645.08
22401008301
Black With WonderGliss Three Holes 
$850.71","https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_224010.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/408330.png,https://www.kbauthority.com/images/D.cache.dpicon/410558.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410559.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410560.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-224915-darling-new-14-5-8-x-21-1-4-inch-bidet-wall-mounted.html,"DURAVIT 2249150000 DARLING NEW 14-5/8 X 21-1/4 INCH BIDET WALL-MOUNTED, DURAVIT 22491500001 DARLING NEW 14-5/8 X...",2249150000,$398.51,38%,$640.00,https://www.kbauthority.com/images/T/14/637841_web2_prod_normal_2-01-01.jpg,"Duravit 224915 Darling New 14-5/8 x 21-1/4 Inch Bidet Wall-Mounted
Darling New is the evolution of a Duravit classic – top end design without a top end price tag. The new range offers harmonious circular forms, an exquisite shape, individual washing area solutions, individual furniture fronts and a broad choice throughout the range. The basin and new vanity unit create a particularly attractive combination and the furniture washbasin offers impressively generous storage space with a delicate design, even in the smallest size. Darling New is the modern version of a bathroom classic – versatile, stylish and affordable.
		Features:   
			Wall-mounted
			With overflow
			With tap platform
			Durafix included
			Additional information: Durafix for concealed fixation is included
			White finish
			Optional WonderGliss
Optional WonderGliss:
			With WonderGliss: 22491500001
			Without WonderGliss: 2249150000
SKU: 22491500001 2249150000",04021534606403,Darling New,"22491500001
With WonderGliss 
$452.03
2249150000
Without WonderGliss 
$398.51","https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_224915.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/408331.png,https://www.kbauthority.com/images/D.cache.dpicon/410561.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410562.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410563.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-225110-darling-new-14-5-8-x-24-3-4-inch-bidet-floor-standing.html,"DURAVIT 2251100000 DARLING NEW 14-5/8 X 24-3/4 INCH BIDET FLOOR STANDING, DURAVIT 22511000001 DARLING NEW 14-5/8 X...",2251100000,$398.51,38%,$640.00,https://www.kbauthority.com/images/T/6/637843_web2_prod_normal_2-01-01.jpg,"Duravit 225110 Darling New 14-5/8 x 24-3/4 Inch Bidet Floor Standing
Individuality, elegance, and precision define the Duravit brand. From high efficiency toilets to vanity consoles, Duravit's team of top notch designers will fill your home with style and functionality.
		Features  
			Floorstanding
			With overflow
			With tap platform
			Installation parts included
			White finish
			Material: porcelain
			Elongated bowl
			Optional WonderGliss
Optional WonderGliss:
			With WonderGliss: 22511000001
			Without WonderGliss: 2251100000
SKU: 22511000001 2251100000",04021534606502,Darling New,"22511000001
With WonderGliss 
$452.03
2251100000
Without WonderGliss 
$398.51","https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_225110.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/408332.png,https://www.kbauthority.com/images/D.cache.dpicon/410564.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410565.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410566.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Bidets,https://www.kbauthority.com/duravit-225510-starck-2-14-5-8-x-22-1-2-inch-bidet-floorstanding.html,"DURAVIT 22551000001 STARCK 2 14-5/8 X 22-1/2 INCH BIDET FLOORSTANDING, DURAVIT 2255100000 STARCK 2 14-5/8 X 22-1/2...",2255100000,$499.92,39%,$820.00,https://www.kbauthority.com/images/T/6/638388_web2_prod_normal_2-01-01.jpg,"Duravit 225510 Starck 2 14-5/8 x 22-1/2 Inch Bidet Floorstanding
A true Starck, but less elaborate: this was the inspiration behind the second Duravit – Philippe Starck collaboration. The result: Starck 2, a range of ceramics that is the ultimate successor to its famous predecessor, Starck 1. Starck 2 also derives its inspiration from the origins of bathroom design: the ceramic forms embody the flowing movement of water and allow us to see the bathroom through a new set of eyes. Starck 2 – the bathroom as a source.
		Features:  
			Floor Standing
			Back To Wall
			With Overflow
			With Tap Platform
			Installation parts Included
			Material: porcelain
			Elongated bowl
			Width: 22.44""
			Length: 14.57""
			Height: 15.75""
			White finish
			Optional WonderGliss
Optional WonderGliss:
			With WonderGliss: 22551000001
			Without WonderGliss: 2255100000
SKU: 22551000001 2255100000",04021534643774,Starck 2,"22551000001
With WonderGliss 
$553.44
2255100000
Without WonderGliss 
$499.92","https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_225510.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/408333.png,https://www.kbauthority.com/images/D.cache.dpicon/410573.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410574.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410575.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
