Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,UPC,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer,Collection
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790220000001000-multiple-cable-driven-waste-and-overflow-for-central-outlet.html,Duravit 790220000001000 Multiple Cable Driven Waste and Overflow for Central Outlet,790220000001000,$150.62, 32%,$220.00,https://www.kbauthority.com/images/T/31/790219Chrome-01-01.jpg,"Duravit 790220000001000 Multiple Cable Driven Waste and Overflow for Central Outlet
Features:
		Chrome trim
		US version
SKU: 790220000001000",04021534346248,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050521092-multiple-push-open-waste-tail-piece-included.html,Duravit 0050521092 Multiple Push-Open Waste Tail-Piece Included,0050521092,$83.93, 30%,$120.00,https://www.kbauthority.com/images/T/33/51480_web2_prod_normal_2-01.jpg,"Duravit 0050521092 Multiple Push-Open Waste Tail-Piece Included  
			2"" Inch
			Push-open waster
SKU: 0050521092",04021534450532,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0074601000-push-button-with-dual-flush-in-chrome.html,Duravit 0074601000 Push Button with Dual-Flush in Chrome,0074601000,$29.31,0%,$0,https://www.kbauthority.com/images/T/314/0074601000_Duravit.jpg,"Duravit 0074601000 Push Button with Dual-Flush in Chrome
	Duravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.
Features:
		Push Button with Dual-Flush in Chrome
SKU: 0074601000",04021534014147,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790112000000000-multiple-tile-flange-for-bathtubs.html,Duravit 790112000000000 Multiple Tile Flange for Bathtubs,790112000000000,$164.99, 33%,$245.00,https://www.kbauthority.com/images/T/34/734447_web2_prod_normal_2-01.jpg,"Duravit 790112000000000 Multiple Tile Flange for Bathtubs 
Features:
		Material: Porcelain
SKU: 790112000000000",04021534303302,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0014170000-mounting-set-for-one-and-two-piece-toilets.html,Duravit 0014170000 Mounting Set for One- and Two-Piece Toilets,0014170000,$83.93, 30%,$120.00,https://www.kbauthority.com/images/T/34/703282_web2_prod_normal_2.jpg,"Duravit 0014170000 Mounting Set for One- and Two-Piece Toilets
			1/2"", US Version
			Mounting Set
			For One-Piece and Two-Piece Toilets
SKU: 0014170000",04021534631832,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050200000-geberit-noise-reduction-gasket-for-wall-mounted-toilets.html,Duravit 0050200000 Geberit Noise Reduction Gasket For Wall-Mounted Toilets,0050200000,$75.30, 28%,$105.00,https://www.kbauthority.com/images/T/33/51304_web2_prod_normal_2-01.jpg,"Duravit 0050200000 Geberit Noise Reduction Gasket For Wall-Mounted Toilets
SKU: 0050200000",04021534003318,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050361092-multiple-design-siphone-tail-piece-included.html,Duravit 0050361092 Multiple Design Siphone Tail-Piece Included,0050361092,$162.12, 32%,$240.00,https://www.kbauthority.com/images/T/33/51381_web2_prod_normal_2-01.jpg,"Duravit 0050361092 Multiple Design Siphone Tail-Piece Included
		For vanity units the space saving siphon is recommended
SKU: 0050361092",04021534450501,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0061381000-hinge-set-for-seat-and-cover-with-soft-closure-in-stainless-steel.html,Duravit 0061381000 Hinge-Set for Seat and Cover with Soft Closure in Stainless Steel,0061381000,$52.30, 20%,$65.00,https://www.kbauthority.com/images/T/314/logo-7708.png,"Duravit 0061381000 Hinge-Set for Seat and Cover with Soft Closure in Stainless SteelDuravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.Features:Hinge-Set for Seat and Cover with Soft Closure in Stainless SteelSKU: 0061381000",04021534427466,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0858300000-durastyle-siphon-cover.html,DURAVIT 0858300000 DURASTYLE SIPHON COVER,0858300000,$112.67, 34%,$170.00,https://www.kbauthority.com/images/T/18/1653726_web2_prod_normal_2-01-01.jpg,"Duravit 0858300000 DuraStyle Siphon Cover 
Features: 
		Wall Mounted
		Material: Vitreous China
		Mounting Hardware Included
		Theme: Modern
		Finish: White
		Compatable with: Duravit 231965, 231960, 231955 Washbasins
SKU: 0858300000",04021534850776,,"https://www.kbauthority.com/files/PDF/Duravit/085830.pdf,","https://www.kbauthority.com/images/D.cache.dpicon/410401.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410402.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410403.jpg,https://www.kbauthority.com/images/D.cache.dpicon/410404.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",DuraStyle
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-6951000000-multiple-fixing-for-washbasin.html,DURAVIT 6951000000 MULTIPLE FIXING FOR WASHBASIN,6951000000,$26.44,0%,$0,https://www.kbauthority.com/images/T/33/duravit-6951000000-412-01.jpg,"Duravit 6951000000 Multiple Fixing for Washbasin
Features:
		Mounting hardware included
		Two sets of fixings are required for all sinks larger than 39-3/8""
		Will resist rust and corrosion through everyday use
SKU: 6951000000",04021534140723,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",DuraStyle
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790010000000000-starck-tub-headrest-cushion.html,Duravit 790010000000000 Starck Tub Headrest Cushion,790010000000000,$95.43, 32%,$140.00,https://www.kbauthority.com/images/T/33/1908115_web2_prod_normal_2-01.jpg,"Duravit 790010000000000 Starck Tub Headrest Cushion 
Features: 
		Color: White
		Material: Polyurethane
SKU: 790010000000000",04021534914553,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",Starck
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790011000000000-p3-comforts-white-headrest-cushion-for-p3-comforts-bathtubs.html,Duravit 790011000000000 P3 Comforts White Headrest Cushion for P3 Comforts Bathtubs,790011000000000,$113.53, 35%,$175.00,https://www.kbauthority.com/images/T/35/3012693_web2_prod_normal_2.jpg,"Duravit 790011000000000 P3 Comforts White Headrest Cushion for P3 Comforts Bathtubs
Features: 
		Material: Polyurethane
SKU: 790011000000000",04021534993480,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790103000000000-multiple-tub-brackets-for-mounting-and-support-for-bath-tubs-and-shower-trays.html,Duravit 790103000000000 Multiple Tub Brackets for Mounting and Support for Bath Tubs and Shower Trays,790103000000000,$52.30, 20%,$65.00,https://www.kbauthority.com/images/T/34/51760_web2_prod_normal_2-01.jpg,"Duravit 790103000000000 Multiple Tub Brackets for Mounting and Support for Bath Tubs and Shower Trays
SKU: 790103000000000",04021534248115,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
