Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/st-s-standard-strainer.html,Standard Strainer ST-S,ST-S,The standard strainer readily fits the 3 1/2-inch drain of common plumbing systems. Its removable tray prevents debris from clogging pipes below and can act as a stopper to retain water in the sink.,USD,14.00,InStock,2021-07-30,5,1,,Standard Shallow Removable Basket,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-s/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-s/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-s/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-b-basket-strainer.html,Basket Strainer ST-B,ST-B,"Made from stainless steel, the basket strainer readily connects to standard 3 1/2-inch plumbing hookups. The deeper basket keeps unwanted materials out of your drain. The fully-enclosed lid sits flush with the drain opening and can act as a stopper to retain water in the sink.",USD,22.00,InStock,2021-07-30,5,1,,"Deep, Removable Basket","Flush, Fully-Enclosed Stopper Lid","Fits Standard 3 1/2"" Drain",One Year Warranty,Stainless Steel Assembly,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-b/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-b/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-b/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-ts-bl-black-colored-quartz-granite-strainer.html,Black Colored Quartz Granite Strainer ST-TS-BL,ST-TS-BL,Our color strainers are designed to perfectly match each one of the colors of our Quartz Granite sink line. The color strainers fit with the 3 1/2-inch drains of common plumbing systems. The removable tray prevents debris from clogging pipes below and can act as a stopper to retain water in the sink.,USD,45.00,InStock,2021-07-30,4.66666666667,3, ST-TS-BL,Available in Six Matching Colors,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-ts-bl/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-bl/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-bl/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-ts-w-white-colored-quartz-granite-strainer.html,White Colored Quartz Granite Strainer ST-TS-W,ST-TS-W,Our color strainers are designed to perfectly match each one of the colors of our Quartz Granite sink line. The color strainers fit with the 3 1/2-inch drains of common plumbing systems. The removable tray prevents debris from clogging pipes below and can act as a stopper to retain water in the sink.,USD,45.00,InStock,2021-07-30,5,1, ST-TS-W,Available in Six Matching Colors,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-ts-w/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-w/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-w/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-ts-mo-mocha-colored-quartz-granite-strainer.html,Mocha Colored Quartz Granite Strainer ST-TS-M,ST-TS-M,Our color strainers are designed to perfectly match each one of the colors of our Quartz Granite sink line. The color strainers fit with the 3 1/2-inch drains of common plumbing systems. The removable tray prevents debris from clogging pipes below and can act as a stopper to retain water in the sink.,USD,45.00,InStock,2021-07-30,5,1, ST-TS-M,Available in Six Matching Colors,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-ts-m/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-m/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-m/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-ts-sl-silver-colored-quartz-granite-strainer.html,Silver-Colored Quartz Granite Strainer ST-TS-SL,ST-TS-SL,Our color strainers are designed to perfectly match each one of the colors of our Quartz Granite sink line. The color strainers fit with the 3 1/2-inch drains of common plumbing systems. The removable tray prevents debris from clogging pipes below and can act as a stopper to retain water in the sink.,USD,45.00,InStock,2021-07-30,5,1, ST-TS-SL,Available in Six Matching Colors,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-ts-sl/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-sl/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-sl/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-ts-st-slate-colored-quartz-granite-strainer.html,Slate Colored Quartz Granite Strainer ST-TS-ST,ST-TS-ST,Our color strainers are designed to perfectly match each one of the colors of our Quartz Granite sink line. The color strainers fit with the 3 1/2-inch drains of common plumbing systems. The removable tray prevents debris from clogging pipes below and can act as a stopper to retain water in the sink.,USD,45.00,InStock,2021-07-30,5,1, ST-TS-ST,Available in Six Matching Colors,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-ts-st/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-st/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-st/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-ts-be-beige-colored-quartz-granite-strainer.html,Beige Colored Quartz Granite Strainer ST-TS-BE,ST-TS-BE,Our color strainers are designed to perfectly match each one of the colors of our Quartz Granite sink line. The color strainers fit with the 3 1/2-inch drains of common plumbing systems. The removable tray prevents debris from clogging pipes below and can act as a stopper to retain water in the sink.,USD,45.00,InStock,2021-07-30,5,1, ST-TS-BE,Available in Six Matching Colors,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-ts-be/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-be/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-ts-be/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-tf-bl-black-colored-quartz-granite-flange.html,Black Colored Quartz Granite Flange ST-TF-BL,ST-TF-BL,"Our color flanges are designed to perfectly match each one of the colors of our Quartz Granite sink line. The purpose of a flange is to cover the rim of the garbage disposal, so the appearance of your sink is uniform in color. Each flange measures the standard 3 1/2-inches in diameter, and includes a removable, perforated tray that can act as a strainer or a stopper.",USD,45.00,InStock,2021-07-30,5,1, ST-TF-BL,Available in Six Matching Colors,Flange Inserts Over Disposal Flange,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-tf-bl/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-bl/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-bl/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/st-tf-w-white-colored-quartz-granite-flange.html,White Colored Quartz Granite Flange ST-TF-W,ST-TF-W,"Our color flanges are designed to perfectly match each one of the colors of our Quartz Granite sink line. The purpose of a flange is to cover the rim of the garbage disposal, so the appearance of your sink is uniform in color. Each flange measures the standard 3 1/2-inches in diameter, and includes a removable, perforated tray that can act as a strainer or a stopper.",USD,45.00,InStock,2021-07-30,5,1, ST-TF-W,Available in Six Matching Colors,Flange Inserts Over Disposal Flange,"Fits Standard 3 1/2"" Drain",Dishwasher Safe,One Year Warranty,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/st-tf-w/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-w/alt/01.1000.png,https://www.mrdirectint.com/media/products/accessory/st-tf-w/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
