Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/7042-c-chrome-two-handle-lavatory-faucet,7042-C Chrome Two Handle Lavatory Faucet,7042-C,"The 7042-C Two Handle Lavatory Faucet is made with solid brass waterway construction and is available in a brushed nickel, oil-rubbed bronze or chrome finish. It works great with overmount and undermount bathroom sinks and is ADA approved. A matching pop-up drain is included with this faucet that will have a corresponding finish. The dimensions for the 7042-C are 6"" x 5 1/2"" x 9"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 7042-C has a modern look with classic lines that are sure to enhance the look of your bathroom sink.",USD,74.00,InStock,2021-07-30,5,1,Chrome,3-Hole Installation,"4"" Centerset",1/4-Turn Washerless Ceramic Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,Water Sense Certified,Limited Lifetime Warranty,Chrome Finish,,,,,https://www.mrdirectint.com/media/products/faucet/7042-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/7042-c_specs.pdf,https://www.mrdirectint.com/files/install/7042_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,https://www.mrdirectint.com/files/certs/water_sense.pdf,,,,,,,,,
https://www.mrdirectint.com/7042-bn-brushed-nickel-two-handle-lavatory-faucet,7042-BN Brushed Nickel Two Handle Lavatory Faucet,7042-BN,"The 7042-BN Two Handle Lavatory Faucet is made with solid brass waterway construction and is available in a brushed nickel, oil-rubbed bronze or chrome finish. It works great with overmount and undermount bathroom sinks and is ADA approved. A matching pop-up drain is included with this faucet that will have a corresponding finish. The dimensions for the 7042-BN are 6"" x 5 1/2"" x 9"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 7042-BN has a modern look with classic lines that are sure to enhance the look of your bathroom sink.",USD,91.00,InStock,2021-07-30,5,2,Brushed Nickel,3-Hole Installation,"4"" Centerset",1/4-Turn Washerless Ceramic Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,Water Sense Certified,Limited Lifetime Warranty,Brushed-Nickel Finish,,,,,https://www.mrdirectint.com/media/products/faucet/7042-bn/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-bn/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/7042-bn_specs.pdf,https://www.mrdirectint.com/files/install/7042_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,https://www.mrdirectint.com/files/certs/water_sense.pdf,,,,,,,,,
https://www.mrdirectint.com/7042-abr-antique-bronze-two-handle-lavatory-faucet,7042-ABR Antique Bronze Two Handle Lavatory Faucet,7042-ABR,"The 7042-ABR Two Handle Lavatory Faucet is made with solid brass waterway construction and is available in a chrome, brushed nickel antique bronze, or oil-rubbed bronze finish. It works great with overmount and undermount bathroom sinks and is ADA approved. A matching pop-up drain is included with this faucet that will have a corresponding finish. The dimensions for the 7042-ABR are 6"" x 5 1/2"" x 9"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 7042-ABR has a modern look with classic lines that are sure to enhance the look of your bathroom sink.",USD,109.00,InStock,2021-07-30,5,1,Antique Bronze,3-Hole Installation,"4"" Centerset",1/4-Turn Washerless Ceramic Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,Water Sense Certified,Limited Lifetime Warranty,Antique Bronze Finish,,,,,https://www.mrdirectint.com/media/products/faucet/7042-abr/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-abr/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/7042-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/7042-abr_specs.pdf,https://www.mrdirectint.com/files/install/7042_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,https://www.mrdirectint.com/files/certs/water_sense.pdf,,,,,,,,,
https://www.mrdirectint.com/720-c-vessel-faucet,720-C Vessel Faucet,720-C,"Specially-designed for vessel sinks with built-in faucet holes, the 720-C Single-Handle Vessel Faucet may be the baby brother of the 721, but it is not short on style. It features the same crisp edges and geometric eloquence of the 721, and is offered in the same three finishes - brushed nickel, oil-rubbed bronze or chrome. Certified to function properly through extensive pressure-testing, it meets ADA standards, and has a limited lifetime warranty. The dimensions for the 720-C are 2"" x 4 1/2"" x 6 1/2"".",USD,114.00,InStock,2021-07-30,5,1,Chrome,1-Hole Installation,Ceramic Disc Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,Water Sense Certified,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Chrome Finish,,,,,https://www.mrdirectint.com/media/products/faucet/720-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/720-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/720-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/720-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/720-c_specs.pdf,https://www.mrdirectint.com/files/install/720_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,https://www.mrdirectint.com/files/certs/water_sense.pdf,,,,,,,,,
https://www.mrdirectint.com/720-bn-vessel-faucet,720-BN Vessel Faucet,720-BN,"Specially-designed for vessel sinks with built-in faucet holes, the 720-BN Single-Handle Vessel Faucet may be the baby brother of the 721, but it is not short on style. It features the same crisp edges and geometric eloquence of the 721, and is offered in the same three finishes - brushed nickel, oil-rubbed bronze or chrome. Certified to function properly through extensive pressure-testing, it meets ADA standards, and has a limited lifetime warranty. The dimensions for the 720-BN are 2"" x 4 1/2"" x 6 1/2"".",USD,126.00,InStock,2021-07-30,5,4,Brushed Nickel,1-Hole Installation,Ceramic Disc Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,Water Sense Certified,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Brushed-Nickel Finish,,,,,https://www.mrdirectint.com/media/products/faucet/720-bn/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/720-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/720-bn/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/720-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/720-bn_specs.pdf,https://www.mrdirectint.com/files/install/720_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,https://www.mrdirectint.com/files/certs/water_sense.pdf,,,,,,,,,
https://www.mrdirectint.com/720-abr-vessel-faucet,720-ABR Vessel Faucet,720-ABR,"Specially-designed for vessel sinks with built-in faucet holes, the 720-ABR Single-Handle Vessel Faucet may be the baby brother of the 721, but it is not short on style. It features the same crisp edges and geometric eloquence of the 721, and is offered in the same three finishes - brushed nickel, oil-rubbed bronze or chrome. Certified to function properly through extensive pressure-testing, it meets ADA standards, and has a limited lifetime warranty. The dimensions for the 720-ABR are 2"" x 4 1/2"" x 6 1/2"".",USD,137.00,InStock,2021-07-30,5,1,Antique Bronze,1-Hole Installation,Ceramic Disc Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Antique Bronze Finish,Brushed-Nickel Finish,,,,,https://www.mrdirectint.com/media/products/faucet/720-abr/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/720-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/720-abr/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/720-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/720-abr_specs.pdf,https://www.mrdirectint.com/files/install/720_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,https://www.mrdirectint.com/files/certs/water_sense.pdf,,,,,,,,,
https://www.mrdirectint.com/731-c-vessel-faucet,731-C Vessel Faucet,731-C,"The 731-C Single Handle Vessel Faucet is made with solid brass waterway construction and is available in a chrome, brushed nickel, or antique bronze finish. It is specially made to work with our vessel sink styles and is ADA approved. The dimensions for the 731-C are 2 1/8"" x 4"" x 12 1/4"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 731-C has a simple beauty that will enhance the look of any vessel sink.",USD,137.00,InStock,2021-07-30,5,5,Chrome,1-Hole Installation,Ceramic Disc Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,Water Sense Certified,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Chrome Finish,,,,,,https://www.mrdirectint.com/media/products/faucet/731-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/731-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/731-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/731-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/731-c_specs.pdf,https://www.mrdirectint.com/files/install/731_install.pdf,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/731-bn-vessel-faucet,731-BN Vessel Faucet,731-BN,"The 731-BN Single Handle Vessel Faucet is made with solid brass waterway construction and is available in a chrome, brushed nickel, or antique bronze finish. It is specially made to work with our vessel sink styles and is ADA approved. The dimensions for the 731-BN are 2 1/8"" x 4"" x 12 1/4"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 731-BN has a simple beauty that will enhance the look of any vessel sink.",USD,149.00,InStock,2021-07-30,5,5,Brushed Nickel,1-Hole Installation,Ceramic Disc Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,Water Sense Certified,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Brushed-Nickel Finish,,,,,,https://www.mrdirectint.com/media/products/faucet/731-bn/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/731-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/731-bn/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/731-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/731-bn_specs.pdf,https://www.mrdirectint.com/files/install/731_install.pdf,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/731-abr-vessel-faucet,731-ABR Vessel Faucet,731-ABR,"The 731-ABR Single Handle Vessel Faucet is made with solid brass waterway construction and is available in a chrome, brushed nickel, or antique bronze finish. It is specially made to work with our vessel sink styles and is ADA approved. The dimensions for the 731-ABR are 2 1/8"" x 4"" x 12 1/4"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 731-ABR has a simple beauty that will enhance the look of any vessel sink.",USD,172.00,InStock,2021-07-30,5,3,Antique Bronze,1-Hole Installation,Ceramic Disc Cartridge,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Antique Bronze Finish,Brushed-Nickel Finish,,,,,,https://www.mrdirectint.com/media/products/faucet/731-abr/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/731-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/731-abr/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/731-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/731-abr_specs.pdf,https://www.mrdirectint.com/files/install/731_install.pdf,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/725-c-vessel-faucet,725-C Vessel Faucet,725-C,"The 725-C Single-Handle Vessel Faucet is a smaller variant of the 726 model, featuring the same expressive styling and simple functionality. Graceful and compact, the 725-C is constructed from solid brass, repeatedly tested for proper performance, and approved by the ADA. It is available in a choice of brushed nickel, chrome, or oil-rubbed bronze finishes and comes with our limited lifetime warranty. The dimensions for the 725-C are 1 3/4"" x 5"" x 6 3/4"".",USD,114.00,InStock,2021-07-30,5,1,Chrome,1-Hole Installation,Ceramic Disc Cartridge,Completely Pressure Tested,ADA Approved,Limited Lifetime Warranty,Chrome Finish,,,,,,,,,,https://www.mrdirectint.com/media/products/faucet/725-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/725-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/725-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/725-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/725-c_specs.pdf,https://www.mrdirectint.com/files/install/725_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,https://www.mrdirectint.com/files/certs/water_sense.pdf,,,,,,,,,
