Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/u1913-white-white-rectangular-porcelain-sink.html,U1913-White Rectangular Porcelain Sink,U1913-White,"The U1913-White porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the U1913-White are 20 3/4"" x 14 3/4"" x 7 3/4"" and requires a 24"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,57,InStock,7/30/2021,4.705882353,34, White,True Vitreous China,Cardboard Cutout Template Included,Installation Hardware Included,Limited Lifetime Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/sink/u1913-white/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-white/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-white/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-white/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/u1913-white_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/u1913-white_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/u1913-bisque-bisque-rectangular-porcelain-sink.html,U1913-Bisque Rectangular Porcelain Sink,U1913-Bisque,"The U1913-Bisque porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. Our bisque color is a beige hue that contains a yellow tint. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the U1913-Bisque are 20 3/4"" x 14 3/4"" x 7 3/4"" and requires a 24"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,57,InStock,7/30/2021,5,10, Bisque,True Vitreous China,Cardboard Cutout Template Included,Installation Hardware Included,Limited Lifetime Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/sink/u1913-bisque/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-bisque/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-bisque/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-bisque/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/u1913-bisque_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/u1913-bisque_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/u1913-black-black-rectangular-porcelain-sink.html,U1913-Black Rectangular Porcelain Sink,U1913-Black,"The U1913-Black porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the U1913-Black are 20 3/4"" x 14 3/4"" x 7 3/4"" and requires a 24"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,80,OutOfStock,7/30/2021,5,1, Black,True Vitreous China,Cardboard Cutout Template Included,Installation Hardware Included,Limited Lifetime Warranty,,,,,,,,,,,,https://www.mrdirectint.com/media/products/sink/u1913-black/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-black/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-black/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/u1913-black/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/u1913-black_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/u1913-black_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/upm-white-white-porcelain-bathroom-sink.html,UPM-White Porcelain Bathroom Sink,UPM-White,"The UPM-White porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the UPM-White are 19"" x 15 1/2"" x 7 1/4"" and requires a 21"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,28,InStock,7/30/2021,4.888888889,27, White,Undermount Installation,"21"" Minimum Cabinet Size",True Vitreous China,Multiple Colors Available,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,,,,,https://www.mrdirectint.com/media/products/sink/upm-white/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/upm-white/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/upm-white/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/upm-white/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/upm-white_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/upm-white_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/upm-bisque-bisque-porcelain-bathroom-sink.html,UPM-Bisque Porcelain Bathroom Sink,UPM-Bisque,"The UPM-Bisque porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. Our bisque color is a beige hue that contains a yellow tint. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the UPM-Bisque are 19"" x 15 1/2"" x 7 1/4"" and requires a 21"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,28,InStock,7/30/2021,4.857142857,7, Bisque,Undermount Installation,"21"" Minimum Cabinet Size",True Vitreous China,Multiple Colors Available,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,,,,,https://www.mrdirectint.com/media/products/sink/upm-bisque/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/upm-bisque/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/upm-bisque/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/upm-bisque/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/upm-bisque_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/upm-bisque_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/upm-black-black-porcelain-bathroom-sink.html,UPM-Black Porcelain Bathroom Sink,UPM-Black,"The UPM-Black porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. The black glaze creates a mirror effect for a shiny finish. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the UPM-Black are 19"" x 15 1/2"" x 7 1/4"" and requires a 21"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,40,InStock,7/30/2021,5,5, Black,Undermount Installation,"21"" Minimum Cabinet Size",True Vitreous China,Multiple Colors Available,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,,,,,https://www.mrdirectint.com/media/products/sink/upm-black/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/upm-black/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/upm-black/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/upm-black/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/upm-black_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/upm-black_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/u1812-white-rectangular-bathroom-sink.html,U1812-White Rectangular Bathroom Sink,U1812-White,"This sink is part of our new line of economically-priced sinks that adhere to the Americans with Disabilities (ADA) guidelines. The U1812-White is designed to be safer, easier to use, and more comfortable for individuals with disabilities or limited mobility. It is a white, rectangular-shaped porcelain undermount sink made from true vitreous china, which is triple glazed and triple fired to ensure your sink is strong and durable. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the U1812-White are 21 1/2"" x 14 1/8"" x 6 3/4"" and requires a 24"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,57,InStock,7/30/2021,4.85,20, White,Undermount Installation,"24"" Minimum Cabinet Size",True Vitreous China,Multiple Colors Available,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,ADA Compliant,,,,,,,https://www.mrdirectint.com/media/products/sink/u1812-white/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/u1812-white/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/u1812-white/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/u1812-white/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/u1812-white_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/u1812-white_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/u1812-bisque-rectangular-bathroom-sink.html,U1812-Bisque Rectangular Bathroom Sink,U1812-Bisque,"This sink is part of our new line of economically-priced sinks that adhere to the Americans with Disabilities (ADA) guidelines. The U1812-Bisque is designed to be safer, easier to use, and more comfortable for individuals with disabilities or limited mobility. It is a rectangular-shaped porcelain undermount sink made from true vitreous china, which is triple glazed and triple fired to ensure your sink is strong and durable. Our bisque color is a beige hue that contains a yellow tint. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the U1812-Bisque are 21 1/2"" x 14 1/8"" x 6 3/4"" and requires a 24"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,57,InStock,7/30/2021,5,5, Bisque,Undermount Installation,"24"" Minimum Cabinet Size",True Vitreous China,Multiple Colors Available,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,ADA Compliant,,,,,,,https://www.mrdirectint.com/media/products/sink/u1812-bisque/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/u1812-bisque/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/u1812-bisque/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/u1812-bisque/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/u1812-bisque_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/u1812-bisque_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/ups-white-white-porcelain-bathroom-sink.html,UPS-White Porcelain Bathroom Sink,UPS-White,"The UPS-White porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the UPS-W are 16 1/2"" x 13 1/8"" x 7 5/8"" and requires an 18"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,28,InStock,7/30/2021,4.888888889,18, White,Undermount Installation,"18"" Minimum Cabinet Size",True Vitreous China,Multiple Colors Available,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,,,,,https://www.mrdirectint.com/media/products/sink/ups-white/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/ups-white/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/ups-white/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/ups-white/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/ups-white_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/ups-white_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/ups-bisque-bisque-porcelain-bathroom-sink.html,UPS-Bisque Porcelain Bathroom Sink,UPS-Bisque,"The UPS-Bisque porcelain undermount sink is made from true vitreous china which is triple glazed and triple fired to ensure your sink is durable and strong. Our bisque color is a beige hue that contains a yellow tint. Undermounting a bathroom sink creates a sleek look and allows for more space on your countertop. The overall dimensions for the UPS-B are 16 1/2"" x 13 1/8"" x 7 5/8"" and requires an 18"" minimum cabinet size. Pop-up drains in a variety of finishes are available with this sink model. As always, our porcelain sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,28,InStock,7/30/2021,4.9,10, Bisque,Undermount Installation,"18"" Minimum Cabinet Size",True Vitreous China,Multiple Colors Available,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,,,,,https://www.mrdirectint.com/media/products/sink/ups-bisque/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/ups-bisque/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/ups-bisque/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/ups-bisque/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/ups-bisque_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_porcelain.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,,,https://www.mrdirectint.com/files/dxfs/ups-bisque_neg.dxf,,,,,,,,,,
