Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/848-white-large-single-bowl-undermount-quartz-granite-kitchen-sink.html,848-White Single Bowl Undermount Quartz Granite Sink,848-White,"The Quartz Granite 848-White large single bowl undermount sink is made from a granite composite material that is comprised of 80% Quartz and 20% Acrylic. The non-porous finish of our Quartz Granite sinks gives it anti-bacterial properties. Aside from being anti-bacterial, the 848-White is stain and scratch resistant and can resist heat up to 550 degrees. The overall dimensions of the sink are 32 5/8"" x 18 3/8"" x 9 1/4"" and a 33"" minimum cabinet size is required. The sink contains a 3 1/2"" offset drain and is available in multiple colors. As always, our Quartz Granite sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,287.00,InStock,2021-07-30,4.75,12, 848-White,Undermount Installation,"Made with 80% Quartz, 20% Acrylic",All-Natural Materials - Eco-Friendly and Recyclable,Offset Drain,Heat Resistant to 550 Degrees,Stain Resistant,Scratch Resistant,Multiple Colors Available,Installation Hardware Included,Limited Lifetime Warranty,Acrylic Provides Sound Dampening - No Pads Needed,,,,,https://www.mrdirectint.com/media/products/sink/848-white/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/848-white/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/848-white/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/848-white/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/848-white/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/848-white/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/848-white/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/848-white_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_trugranite.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/848-white_flush.dxf,https://www.mrdirectint.com/files/dxfs/848-white_full.dxf,https://www.mrdirectint.com/files/dxfs/848-white_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/848-black-large-single-bowl-undermount-quartz-granite-kitchen-sink.html,848-Black Single Bowl Undermount Quartz Granite Sink,848-Black,"The Quartz Granite 848-Black large single bowl undermount sink is made from a granite composite material that is comprised of 80% Quartz and 20% Acrylic. The non-porous finish of our Quartz Granite sinks gives it anti-bacterial properties. Aside from being anti-bacterial, the 848-Black is stain and scratch resistant and can resist heat up to 550 degrees. The overall dimensions of the sink are 32 5/8"" x 18 3/8"" x 9 1/4"" and a 33"" minimum cabinet size is required. The sink contains a 3 1/2"" offset drain and is available in multiple colors. As always, our Quartz Granite sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,287.00,OutOfStock,2021-07-30,5,15, 848-Black,Undermount Installation,"Made with 80% Quartz, 20% Acrylic",All-Natural Materials - Eco-Friendly and Recyclable,Offset Drain,Heat Resistant to 550 Degrees,Stain Resistant,Scratch Resistant,Multiple Colors Available,Installation Hardware Included,Limited Lifetime Warranty,Acrylic Provides Sound Dampening - No Pads Needed,,,,,https://www.mrdirectint.com/media/products/sink/848-black/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/848-black/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/848-black/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/848-black/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/848-black/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/848-black/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/848-black/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/848-black_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_trugranite.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/848-black_flush.dxf,https://www.mrdirectint.com/files/dxfs/848-black_full.dxf,https://www.mrdirectint.com/files/dxfs/848-black_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/848-silver-large-single-bowl-undermount-quartz-granite-kitchen-sink.html,848-Silver Single Bowl Undermount Quartz Granite Sink,848-Silver,"The Quartz Granite 848-Silver large single bowl undermount sink is made from a granite composite material that is comprised of 80% Quartz and 20% Acrylic. The non-porous finish of our Quartz Granite sinks gives it anti-bacterial properties. Aside from being anti-bacterial, the 848-Silver is stain and scratch resistant and can resist heat up to 550 degrees. The overall dimensions of the sink are 32 5/8"" x 18 3/8"" x 9 1/4"" and a 33"" minimum cabinet size is required. The sink contains a 3 1/2"" offset drain and is available in multiple colors. As always, our Quartz Granite sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,287.00,InStock,2021-07-30,4.42857142857,14, 848-Silver,Undermount Installation,"Made with 80% Quartz, 20% Acrylic",All-Natural Materials - Eco-Friendly and Recyclable,Offset Drain,Heat Resistant to 550 Degrees,Stain Resistant,Scratch Resistant,Multiple Colors Available,Installation Hardware Included,Limited Lifetime Warranty,Acrylic Provides Sound Dampening - No Pads Needed,,,,,https://www.mrdirectint.com/media/products/sink/848-silver/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/848-silver/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/848-silver/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/848-silver/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/848-silver/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/848-silver/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/848-silver/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/848-silver_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_trugranite.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/848-silver_flush.dxf,https://www.mrdirectint.com/files/dxfs/848-silver_full.dxf,https://www.mrdirectint.com/files/dxfs/848-silver_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/848-mocha-large-single-bowl-undermount-quartz-granite-kitchen-sink.html,848-Mocha Single Bowl Undermount Quartz Granite Sink,848-Mocha,"The Quartz Granite 848-Mocha large single bowl undermount sink is made from a granite composite material that is comprised of 80% Quartz and 20% Acrylic. The non-porous finish of our Quartz Granite sinks gives it anti-bacterial properties. Aside from being anti-bacterial, the 848-Mocha is stain and scratch resistant and can resist heat up to 550 degrees. The overall dimensions of the sink are 32 5/8"" x 18 3/8"" x 9 1/4"" and a 33"" minimum cabinet size is required. The sink contains a 3 1/2"" offset drain and is available in multiple colors. As always, our Quartz Granite sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,287.00,InStock,2021-07-30,4.73333333333,15, 848-Mocha,Undermount Installation,"Made with 80% Quartz, 20% Acrylic",All-Natural Materials - Eco-Friendly and Recyclable,Offset Drain,Heat Resistant to 550 Degrees,Stain Resistant,Scratch Resistant,Multiple Colors Available,Installation Hardware Included,Limited Lifetime Warranty,Acrylic Provides Sound Dampening - No Pads Needed,,,,,https://www.mrdirectint.com/media/products/sink/848-mocha/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/848-mocha/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/848-mocha/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/848-mocha/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/848-mocha/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/848-mocha/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/848-mocha/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/848-mocha_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_trugranite.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/848-mocha_flush.dxf,https://www.mrdirectint.com/files/dxfs/848-mocha_full.dxf,https://www.mrdirectint.com/files/dxfs/848-mocha_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/848-slate-large-single-bowl-undermount-quartz-granite-kitchen-sink.html,848-Slate Single Bowl Undermount Quartz Granite Sink,848-Slate,"The Quartz Granite 848-Slate large single bowl undermount sink is made from a granite composite material that is comprised of 80% Quartz and 20% Acrylic. The non-porous finish of our Quartz Granite sinks gives it anti-bacterial properties. Aside from being anti-bacterial, the 848-Slate is stain and scratch resistant and can resist heat up to 550 degrees. The overall dimensions of the sink are 32 5/8"" x 18 3/8"" x 9 1/4"" and a 33"" minimum cabinet size is required. The sink contains a 3 1/2"" offset drain and is available in multiple colors. As always, our Quartz Granite sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,287.00,InStock,2021-07-30,4.875,8, 848-Slate,Undermount Installation,"Made with 80% Quartz, 20% Acrylic",All-Natural Materials - Eco-Friendly and Recyclable,Offset Drain,Heat Resistant to 550 Degrees,Stain Resistant,Scratch Resistant,Multiple Colors Available,Installation Hardware Included,Limited Lifetime Warranty,Acrylic Provides Sound Dampening - No Pads Needed,,,,,https://www.mrdirectint.com/media/products/sink/848-slate/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/848-slate/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/848-slate/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/848-slate/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/848-slate/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/848-slate/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/848-slate/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/848-slate_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_trugranite.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/848-slate_flush.dxf,https://www.mrdirectint.com/files/dxfs/848-slate_full.dxf,https://www.mrdirectint.com/files/dxfs/848-slate_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/848-beige-large-single-bowl-undermount-quartz-granite-kitchen-sink.html,848-Beige Single Bowl Undermount Quartz Granite Sink,848-Beige,"The Quartz Granite 848-Beige large single bowl undermount sink is made from a granite composite material that is comprised of 80% Quartz and 20% Acrylic. The non-porous finish of our Quartz Granite sinks gives it anti-bacterial properties. Aside from being anti-bacterial, the 848-Beige is stain and scratch resistant and can resist heat up to 550 degrees. The overall dimensions of the sink are 32 5/8"" x 18 3/8"" x 9 1/4"" and a 33"" minimum cabinet size is required. The sink contains a 3 1/2"" offset drain and is available in multiple colors. As always, our Quartz Granite sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,287.00,InStock,2021-07-30,4.33333333333,3, 848-Beige,Undermount Installation,"Made with 80% Quartz, 20% Acrylic",All-Natural Materials - Eco-Friendly and Recyclable,Offset Drain,Heat Resistant to 550 Degrees,Stain Resistant,Scratch Resistant,Multiple Colors Available,Installation Hardware Included,Limited Lifetime Warranty,Acrylic Provides Sound Dampening - No Pads Needed,,,,,https://www.mrdirectint.com/media/products/sink/848-beige/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/848-beige/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/848-beige/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/848-beige/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/848-beige/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/848-beige/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/848-beige/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/848-beige_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_trugranite.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/848-beige_flush.dxf,https://www.mrdirectint.com/files/dxfs/848-beige_full.dxf,https://www.mrdirectint.com/files/dxfs/848-beige_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/3120s-undermount-single-bowl-3-4-radius-sink.html,"3120S Undermount 3/4"" Radius Sink",3120S,"With its curved corners, the 3120S is designed to provide a softer look and easier cleaning. It is the larger of the two single-bowl, 3/4"" radius sinks that we offer. Certain to handle any size kitchen chore, the 3120S is formed from a single piece of 304 grade, stainless steel. The overall dimensions of the 3120S are 31 1/4"" x 18"" x 9"" and a 33"" minimum cabinet size is required. This sink contains a 3 1/2"" drain, is fully insulated and comes with sound dampening pads. Covered by our limited lifetime warranty, your satisfaction is guaranteed.",USD,172.00,InStock,2021-07-30,4.60869565217,46,,Undermount Installation,"33"" Minimum Cabinet Size","14-, 16- or 18-Gauge Steel Available",Certified High-Quality 304 Stainless Steel,Offset Drain,Thick Sound Dampener Rubber Pad,Fully Insulated,Cardboard Cutout Template Included,Installation Hardware Included,Limited Lifetime Warranty,,,,,,https://www.mrdirectint.com/media/products/sink/3120s/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/3120s/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/3120s/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/3120s/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/3120s/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/3120s/product/dim_in.1000.png,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/3120s_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_stainless.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/3120s_flush.dxf,https://www.mrdirectint.com/files/dxfs/3120s_full.dxf,https://www.mrdirectint.com/files/dxfs/3120s_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/3218c-single-bowl-stainless-steel-kitchen-sink.html,3218C Single Bowl Undermount Stainless Steel Sink,3218C,"The 3218C is part of our Fabricator Series line of sinks. It is constructed from 18 gauge, 304 grade stainless steel. The surface has a brushed satin finish to help mask small scratches that occur over time and will keep this sink looking beautiful for years. The overall dimensions of the 3218C are 32 1/4"" x 18"" x 9 1/4"" and a 33"" minimum cabinet size is required. The 3218C has a cutout template included with purchase. This sink contains a 3 1/2"" center drain, is fully insulated, and comes with sound dampening pads. As always, our stainless steel sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,114.00,InStock,2021-07-30,4.78125,32,,16- or 18-Gauge Steel Available,Certified High-Quality 304 Stainless Steel,Brushed Satin Finish,Center Drain,Thick Sound Dampener Rubber Pad,Fully Insulated,One-Piece Construction,Limited Lifetime Warranty,,,,,,,,https://www.mrdirectint.com/media/products/sink/3218c/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/3218c/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/3218c/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/3218c/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/3218c/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/3218c/product/dim_in.1000.png,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/3218c_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_stainless.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/3218c_flush.dxf,https://www.mrdirectint.com/files/dxfs/3218c_full.dxf,https://www.mrdirectint.com/files/dxfs/3218c_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/1823-stainless-steel-single-bowl-3-4-radius-kitchen-sink.html,"1823 Stainless Steel Single Bowl 3/4"" Radius Kitchen Sink",1823,"Comparable in design to our 90-degree stainless steel sinks, the 1823, as well as our full family of radius sinks, appears angular, but features rounded corners throughout their interiors. This aspect means a softer appearance and a further benefit of easier cleaning. Made from one piece of 304 grade stainless steel; its brushed satin finish hides minor scratches that could occur over time. The overall dimensions of the 1823 are 23"" x 17 7/8"" x 9"" and a 24"" minimum cabinet size is required. The 1823 is the smaller version of our two, single-bowl 3/4"" radius style sinks. This sink contains a 3 1/2"" drain, is fully insulated and comes with sound dampening pads. As with all our stainless steel sinks, included is our limited lifetime warranty.",USD,114.00,InStock,2021-07-30,4.75,40,,Undermount Installation,"24"" Minimum Cabinet Size","14-, 16- or 18-Gauge Steel Available",Certified High-Quality 304 Stainless Steel,Brushed Satin Finish,Offset Drain,Thick Sound Dampener Rubber Pad,Fully Insulated,Cardboard Cutout Template Included,Installation Hardware Included,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,https://www.mrdirectint.com/media/products/sink/1823/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/1823/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/1823/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/1823/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/1823/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/1823/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/1823/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/1823_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_stainless.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/1823_flush.dxf,https://www.mrdirectint.com/files/dxfs/1823_full.dxf,https://www.mrdirectint.com/files/dxfs/1823_neg.dxf,,,,,,,,,,
https://www.mrdirectint.com/802-white-double-equal-bowl-quartz-granite-kitchen-sink.html,802-White Double Equal Bowl Quartz Granite Kitchen Sink,802-White,"The Quartz Granite 802-White white equal double bowl undermount sink is made from a granite composite material that is comprised of 80% Quartz and 20% Acrylic. The non-porous finish of our Quartz Granite sinks gives it anti-bacterial properties. Aside from being anti-bacterial, the 802-White is stain and scratch resistant and can resist heat up to 550 degrees. The overall dimensions of the sink are 32 1/2"" x 18 5/8"" x 9 1/2"" and a 33"" minimum cabinet size is required. The sink contains a 3 1/2"" offset drain and is available in multiple colors. As always, our Quartz Granite sinks are covered under a limited lifetime warranty for as long as you own the sink.",USD,287.00,InStock,2021-07-30,4.7619047619,21, 802-White,Undermount Installation,"Made with 80% Quartz, 20% Acrylic",All-Natural Materials - Eco-Friendly and Recyclable,Offset Drain,Heat Resistant to 550 Degrees,Stain Resistant,Scratch Resistant,Multiple Colors Available,Installation Hardware Included,Limited Lifetime Warranty,Acrylic Provides Sound Dampening - No Pads Needed,,,,,https://www.mrdirectint.com/media/products/sink/802-white/alt/21.1000.png,https://www.mrdirectint.com/media/products/sink/802-white/product/main.1000.png,https://www.mrdirectint.com/media/products/sink/802-white/alt/01.1000.png,https://www.mrdirectint.com/media/products/sink/802-white/alt/02.1000.png,https://www.mrdirectint.com/media/products/sink/802-white/alt/03.1000.png,https://www.mrdirectint.com/media/products/sink/802-white/alt/90.1000.png,https://www.mrdirectint.com/media/products/sink/802-white/product/dim_in.1000.png,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/802-white_specs.pdf,,https://www.mrdirectint.com/files/certs/cupc_trugranite.pdf,,,https://www.mrdirectint.com/files/install/undermount_install.pdf,https://www.mrdirectint.com/files/dxfs/802-white_flush.dxf,https://www.mrdirectint.com/files/dxfs/802-white_full.dxf,https://www.mrdirectint.com/files/dxfs/802-white_neg.dxf,,,,,,,,,,
