Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,ProductFullDescriptionHtml,Theme,Feature,Number of Sinks,Finish,Type,Countertop Material,Collections,UPC,Sink Shape,Length,Material,Faucet Holes,Number of Basins,Shape,Installation Type,Gallons per Flush,Rough-In,LeverPlacement,Flush Type,Width,Front to Back,Depth,Height,Frame Finish,DoorType,Frame Type,GlassTickness,GlassType,Hardware Finish,Collection,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer,Configuration
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-003029-17-3-4-inch-towel-rail.html,"Duravit 0030294600 17-3/4 Inch Towel Rail, Black Matt",__@ 0030294600,__@ $281.80,__@ 0%,__@ $195.00,https://www.kbauthority.com/images/T/25/003029_Duravit.png,"Duravit 003029 17-3/4 Inch Towel Rail
		Mounting Type: Wall Mounted
		Bar Length: 17-3/4 Inches
		For washbasin # 045450, 235050, 235350
Available Finishes:
		Chrome: 0030291000
		Black Matt: 0030294600
	SKU: 0030291000 0030294600","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3>
	Duravit 003029 17-3/4 Inch Towel Rail</h3>
<ul>
<li>
		Mounting Type: Wall Mounted</li>
<li>
		Bar Length: 17-3/4 Inches</li>
<li>
		For washbasin # 045450, 235050, 235350</li>
</ul>
<p>
<strong>Available Finishes:</strong></p>
<ol>
<li>
		Chrome: 0030291000</li>
<li>
		Black Matt: 0030294600</li>
</ol>
<h3>
	SKU: 0030291000 0030294600</h3>
</div>",,,,,,,,__@ 04053424707143,,,,,,,,,,,,,,,,,,,,,,__@ Various series,0030291000;0030294600,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-0030331000-various-series-45-1-4-inch-towel-rail-in-chrome-for-washbasin-045412-034812-235012.html,"Duravit 0030331000 Various series 45-1/4 Inch Towel Rail in Chrome for Washbasin # 045412, 034812, 235012",__@ 0030331000,__@ $446.76,__@   2%,__@ $455.00,https://www.kbauthority.com/images/T/311/0030331000_Duravit.png,"Duravit 0030331000 Various series 45-1/4 Inch Towel Rail in Chrome for Washbasin # 045412, 034812, 235012
	Duravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.
Features:
		Towel Rail
		Square Tube 1/2""
		For Washbasin # 045412, 034812, 235012
		Various Series Collection
Dimensions:
		Length: 45.25 Inch
SKU: 0030331000","<div class=""collapsed"" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 0030331000 Various series 45-1/4 Inch Towel Rail in Chrome for Washbasin # 045412, 034812, 235012</strong></p>
<p>
	Duravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.</p>
<p>
<strong>Features:</strong></p>
<ul>
<li>
		Towel Rail</li>
<li>
		Square Tube 1/2""</li>
<li>
		For Washbasin # 045412, 034812, 235012</li>
<li>
		Various Series Collection</li>
</ul>
<p>
<strong>Dimensions:</strong></p>
<ul>
<li>
		Length: 45.25 Inch</li>
</ul>
<p>
<strong>SKU: 0030331000</strong></p>
</div>",__@ Contemporary / Modern,,,__@ Chromes,__@ Towel Rail,,,__@ 04021534583193,,,,,,,,,,,,__@ 30 Inches and Above,,,,,,,,,,__@ Various series,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-0030341000-vero-towel-rail-length-1205mm-chrome.html,Duravit 0030341000 Vero Towel Rail Length 1205mm Chrome,__@ 0030341000,__@ $440.76,__@   1%,__@ $445.00,https://www.kbauthority.com/images/T/33/duravit-0030341000-01.jpg,"Duravit 0030341000 Vero Towel Rail Length 1205mm Chrome
		Mounting Type: Wall Mounted
		Material: Steel
		Bar Length: 47.44 Inches
		Chrome Finish
SKU: 0030341000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3>
	Duravit 0030341000 Vero Towel Rail Length 1205mm Chrome</h3>
<ul>
<li>
		Mounting Type: Wall Mounted</li>
<li>
		Material: Steel</li>
<li>
		Bar Length: 47.44 Inches</li>
<li>
		Chrome Finish</li>
</ul>
<h3>
<strong>SKU: </strong>0030341000</h3>
</div>",,,,,,,,__@ 04021534405808,,,,,,,,,,,,,,,,,,,,,,__@ Vero,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-0030351000-multiple-towel-rail-square-tube-1-2-inch-length-808mm-chrome.html,Duravit 0030351000 Multiple Towel Rail Square Tube 1/2 Inch Length 808mm Chrome,__@ 0030351000,__@ $428.78,,,https://www.kbauthority.com/images/T/33/duravit-0030351000-01.jpg,"Duravit 0030351000 Multiple Towel Rail Square Tube 1/2 Inch Length 808mm Chrome
		Mounting Type: Wall Mounted
		Material: Steel
		Bar Length: 39.72 Inches
		Chrome Finish
SKU: 0030351000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3>
	Duravit 0030351000 Multiple Towel Rail Square Tube 1/2 Inch Length 808mm Chrome</h3>
<ul>
<li>
		Mounting Type: Wall Mounted</li>
<li>
		Material: Steel</li>
<li>
		Bar Length: 39.72 Inches</li>
<li>
		Chrome Finish</li>
</ul>
<h3>
<strong>SKU: 0030351000</strong></h3>
</div>",,,,,,,,__@ 04021534405792,,,,,,,,,,,,,,,,,,,,,,__@ Various series,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-0030361000-vero-towel-rail-length-808mm-chrome.html,Duravit 0030361000 Vero Towel Rail Length 808mm Chrome,__@ 0030361000,__@ $410.78,,,https://www.kbauthority.com/images/T/33/duravit-0030361000-01.jpg,"Duravit 0030361000 Vero Towel Rail Length 808mm Chrome
		Mounting Type: Wall Mounted
		Material: Steel
		Bar Length: 31.81 Inches
		Chrome Finish
SKU: 0030361000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3>
	Duravit 0030361000 Vero Towel Rail Length 808mm Chrome</h3>
<ul>
<li>
		Mounting Type: Wall Mounted</li>
<li>
		Material: Steel</li>
<li>
		Bar Length: 31.81 Inches</li>
<li>
		Chrome Finish</li>
</ul>
<h3>
<strong>SKU: 0030361000</strong></h3>
</div>",,,,,,,,__@ 04021534405785,,,,,,,,,,,,,,,,,,,,,,__@ Various series,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-003037-vero-towel-rail-length-550mm.html,"Duravit 0030374600 Vero Towel Rail Length 550mm, Black Matt",__@ 0030374600,__@ $272.80,__@ 0%,__@ $180.00,https://www.kbauthority.com/images/T/33/duravit-0030371000-01.jpg,"Duravit 003037 Vero Towel Rail Length 550mm
		Mounting Type: Wall Mounted
		Material: Steel
		Bar Length: 21.65 Inches
		Chrome Finish
Available Finishes:
		Chrome: 0030371000
		Black Matt: 0030374600
	SKU: 0030371000 0030374600","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3>
	Duravit 003037 Vero Towel Rail Length 550mm</h3>
<ul>
<li>
		Mounting Type: Wall Mounted</li>
<li>
		Material: Steel</li>
<li>
		Bar Length: 21.65 Inches</li>
<li>
		Chrome Finish</li>
</ul>
<p>
<strong>Available Finishes:</strong></p>
<ol>
<li>
		Chrome: 0030371000</li>
<li>
		Black Matt: 0030374600</li>
</ol>
<h3>
	SKU: 0030371000 0030374600</h3>
</div>",,,,,,,,__@ 04053424707334,,,,,,,,,,,,,,,,,,,,,,__@ Various series,0030371000;0030374600,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-0030381000-vero-towel-rail-length-755mm-chrome.html,Duravit 0030381000 Vero Towel Rail Length 755mm Chrome,__@ 0030381000,__@ $383.78,,,https://www.kbauthority.com/images/T/33/duravit-0030381000-01.jpg,"Duravit 0030381000 Vero Towel Rail Length 755mm Chrome
		Mounting Type: Wall Mounted
		Material: Steel
		Bar Length: 29.72 Inches
		Chrome Finish
SKU: 0030381000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3> 
	Duravit 0030381000 Vero Towel Rail Length 755mm Chrome</h3>
<ul>
<li> 
		Mounting Type: Wall Mounted</li>
<li> 
		Material: Steel</li>
<li> 
		Bar Length: 29.72 Inches</li>
<li> 
		Chrome Finish</li>
</ul>
<h3>
<strong>SKU: 0030381000</strong></h3>
</div>",,,,,,,,__@ 04021534344336,,,,,,,,,,,,,,,,,,,,,,__@ Various series,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-0030391000-vero-towel-rail-length-37-5-8-inch-chrome.html,Duravit 0030391000 Vero Towel Rail Length 37-5/8 Inch Chrome,__@ 0030391000,__@ $410.78,,,https://www.kbauthority.com/images/T/33/duravit-0030391000-01.jpg,"Duravit 0030391000 Vero Towel Rail Length 37-5/8 Inch Chrome
		Mounting Type: Wall Mounted
		Material: Steel
		Bar Length: 37-5/8 Inches
		Chrome Finish
SKU: 0030391000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3> 
	Duravit 0030391000 Vero Towel Rail Length 37-5/8 Inch Chrome</h3>
<ul>
<li> 
		Mounting Type: Wall Mounted</li>
<li> 
		Material: Steel</li>
<li> 
		Bar Length: 37-5/8 Inches</li>
<li> 
		Chrome Finish</li>
</ul>
<h3>
<strong>SKU: 0030391000</strong></h3>
</div>",,,,,,,,__@ 04021534344343,,,,,,,,,,,,,,,,,,,,,,__@ Various series,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-0030471000-vero-towel-rail-length-655mm-chrome.html,Duravit 0030471000 Vero Towel Rail Length 655mm Chrome,__@ 0030471000,__@ $377.78,,,https://www.kbauthority.com/images/T/33/2142nT2NkhL._SX425_-01.jpg,"Duravit 0030471000 Vero Towel Rail Length 655mm Chrome
		Mounting Type: Wall Mounted
		Material: Steel
		Bar Length: 25.78 Inches
		Chrome Finish
SKU: 0030471000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3> 
	Duravit 0030471000 Vero Towel Rail Length 655mm Chrome</h3>
<ul>
<li> 
		Mounting Type: Wall Mounted</li>
<li> 
		Material: Steel</li>
<li> 
		Bar Length: 25.78 Inches</li>
<li> 
		Chrome Finish</li>
</ul>
<h3>
<strong>SKU: 0030471000</strong></h3>
</div>",,,,,,,,__@ 04021534786723,,,,,,,,,,,,,,,,,,,,,,__@ Various series,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
Home > Bath > All Bath Brands > Duravit>Towel Rails,https://www.kbauthority.com/duravit-003119-various-series-37-1-8-inch-towel-rail-for-washbasin-235310.html,"Duravit 0031194600 Various series 37-1/8 Inch Towel Rail for Washbasin # 235310, Black Matt",__@ 0031194600,__@ $305.80,__@ 0%,__@ $230.00,https://www.kbauthority.com/images/T/311/003119_Duravit.png,"Duravit 003119 Various series 37-1/8 Inch Towel Rail for Washbasin # 235310
	Duravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.
Features:
		Towel Rail
		Square Tube 1/2""
		For Washbasin # 235310
		Various Series Collection
		37.125 Inch Length
Available Finishes:
		Chrome: 0031191000
		Black Matt: 0031194600
SKU: 0031191000 0031194600","<div class=""collapsed"" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 003119 Various series 37-1/8 Inch Towel Rail for Washbasin # 235310</strong></p>
<p>
	Duravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.</p>
<p>
<strong>Features:</strong></p>
<ul>
<li>
		Towel Rail</li>
<li>
		Square Tube 1/2""</li>
<li>
		For Washbasin # 235310</li>
<li>
		Various Series Collection</li>
<li>
		37.125 Inch Length</li>
</ul>
<p>
<strong>Available Finishes:</strong></p>
<ol>
<li>
		Chrome: 0031191000</li>
<li>
		Black Matt: 0031194600</li>
</ol>
<p>
<strong>SKU: 0031191000 0031194600</strong></p>
</div>",__@ Contemporary / Modern,,,__@ Blacks / Chromes,__@ Towel Rail,,,__@ 04053424895758,,,,,,,,,,,,__@ 30 Inches and Above,,,,,,,,,,__@ Various series,0031191000;0031194600,,https://www.kbauthority.com/images/D.cache.dpicon/405466.png,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",__@ Single Bar
