Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,ProductFullDescriptionHtml,Theme,Feature,Number of Sinks,Finish,Type,Countertop Material,Collections,UPC,Sink Shape,Length,Material,Faucet Holes,Number of Basins,Shape,Installation Type,Gallons per Flush,Rough-In,LeverPlacement,Flush Type,Width,Front to Back,Depth,Height,Frame Finish,DoorType,Frame Type,GlassTickness,GlassType,Hardware Finish,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer,Collection
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0074138700-flush-valve-single-flush-for-one-piece-toilet.html,Duravit 0074138700 Flush Valve Single-Flush for One-Piece Toilet,__@ 0074138700,__@ $60.27,__@  20%,__@ $75.00,https://www.kbauthority.com/images/T/314/logo-7772.png,"Duravit 0074138700 Flush Valve Single-Flush for One-Piece ToiletDuravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.Features:Flush valve Single-Flush for One-Piece ToiletSKU: 0074138700","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p><strong>Duravit 0074138700 Flush Valve Single-Flush for One-Piece Toilet</strong></p><p>Duravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.</p><p><strong>Features:</strong></p><ul><li>Flush valve Single-Flush for One-Piece Toilet</li></ul><p><strong>SKU: 0074138700</strong></p>
</div>",,,,,,,,__@ 04021534807312,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0074601000-push-button-with-dual-flush-in-chrome.html,Duravit 0074601000 Push Button with Dual-Flush in Chrome,__@ 0074601000,__@ $30.28,,,https://www.kbauthority.com/images/T/314/0074601000_Duravit.jpg,"Duravit 0074601000 Push Button with Dual-Flush in Chrome
	Duravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.
Features:
		Push Button with Dual-Flush in Chrome
SKU: 0074601000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 0074601000 Push Button with Dual-Flush in Chrome</strong></p>
<p>
	Duravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.</p>
<p>
<strong>Features:</strong></p>
<ul>
<li>
		Push Button with Dual-Flush in Chrome</li>
</ul>
<p>
<strong>SKU: 0074601000</strong></p>
</div>",,,,,,,,__@ 04021534014147,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-1001070000-multiple-overflow-clip-chrome.html,Duravit 1001070000 Multiple Overflow Clip Chrome,__@ 1001070000,__@ $27.28,,,https://www.kbauthority.com/images/T/33/51579_web2_prod_normal_2-01.jpg,"Duravit 1001070000 Multiple Overflow Clip Chrome
SKU: 1001070000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 1001070000 Multiple Overflow Clip Chrome</strong></p>
<p>
<strong>SKU: 1001070000 </strong></p>
</div>",,,,,,,,__@ 04021534128769,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790160000000000-architec-tub-flange-clips-for-tub.html,Duravit 790160000000000 Architec Tub Flange Clips for Tub,__@ 790160000000000,__@ $39.28,__@   2%,__@ $40.00,https://www.kbauthority.com/images/T/314/790160000000000_Duravit.jpg,"Duravit 790160000000000 Architec Tub Flange Clips for Tub 
SKU: 790160000000000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 790160000000000 Architec Tub Flange Clips for Tub </strong></p>
<p>
	 </p>
<p>
<strong>SKU: 790160000000000 </strong></p>
</div>",,,,,,,,__@ 04021534931611,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050000000-multiple-fixing-hooks-for-urinals-and-basins.html,Duravit 0050000000 Multiple Fixing Hooks For Urinals And Basins,__@ 0050000000,__@ $36.28,,,https://www.kbauthority.com/images/T/33/51229_web2_prod_normal_2-01.jpg,"Duravit 0050000000 Multiple Fixing Hooks For Urinals And Basins
SKU: 0050000000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<h3>
<strong>Duravit 0050000000 Multiple Fixing Hooks For Urinals And Basins</strong></h3>
<h3> 
	 </h3>
<h3>
<strong>SKU: 0050000000</strong></h3>
</div>",,,,,,,,__@ 04021534003219,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050760000-space-saving-siphon-white-finish.html,Duravit 0050760000 Space Saving Siphon - White Finish ,__@ 0050760000,__@ $87.27,__@  24%,__@ $115.00,https://www.kbauthority.com/images/T/20/0050760000_Duravit.jpg,"Duravit 0050760000 Space Saving Siphon - White Finish
		Space saving siphon white
		For vanity units the space saving siphon is recommended
		1 1/4"" inch
SKU: 0050760000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 0050760000 Space Saving Siphon - White Finish</strong></p>
<ul>
<li>
		Space saving siphon white</li>
<li>
		For vanity units the space saving siphon is recommended</li>
<li>
		1 1/4"" inch<br/>
		 </li>
</ul>
<p>
	 </p>
<p>
<strong>SKU: 0050760000</strong></p>
</div>",,,,,,,,__@ 04053424328256,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0061621000-hinge-set-for-seat-and-cover-with-soft-closure-in-stainless-steel.html,Duravit 0061621000 Hinge-Set for Seat and Cover with Soft Closure in Stainless Steel,__@ 0061621000,__@ $27.28,,,https://www.kbauthority.com/images/T/314/logo-7725.png,"Duravit 0061621000 Hinge-Set for Seat and Cover with Soft Closure in Stainless SteelDuravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.Features:Hinge-Set for Seat and Cover with Soft Closure in Stainless SteelSKU: 0061621000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p><strong>Duravit 0061621000 Hinge-Set for Seat and Cover with Soft Closure in Stainless Steel</strong></p><p>Duravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.</p><p><strong>Features:</strong></p><ul><li>Hinge-Set for Seat and Cover with Soft Closure in Stainless Steel</li></ul><p><strong>SKU: 0061621000</strong></p>
</div>",,,,,,,,__@ 04021534634185,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0074139400-flush-valve-for-093520-with-push-button.html,Duravit 0074139400 Flush Valve for #093520 with Push Button,__@ 0074139400,__@ $78.27,__@  22%,__@ $100.00,https://www.kbauthority.com/images/T/314/logo-7775.png,"Duravit 0074139400 Flush Valve for #093520 with Push ButtonDuravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.Features:Flush valve for #093520 with Push ButtonSKU: 0074139400","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p><strong>Duravit 0074139400 Flush Valve for #093520 with Push Button</strong></p><p>Duravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.</p><p><strong>Features:</strong></p><ul><li>Flush valve for #093520 with Push Button</li></ul><p><strong>SKU: 0074139400</strong></p>
</div>",,,,,,,,__@ 04021534945809,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790112000000000-multiple-tile-flange-for-bathtubs.html,Duravit 790112000000000 Multiple Tile Flange for Bathtubs,__@ 790112000000000,__@ $174.67,__@  29%,__@ $245.00,https://www.kbauthority.com/images/T/34/734447_web2_prod_normal_2-01.jpg,"Duravit 790112000000000 Multiple Tile Flange for Bathtubs 
Features:
		Material: Porcelain
SKU: 790112000000000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 790112000000000 Multiple Tile Flange for Bathtubs </strong></p>
<p>
<strong>Features:</strong></p>
<ul>
<li> 
		Material: Porcelain</li>
</ul>
<p>
<strong>SKU: 790112000000000 </strong></p>
</div>",,,,,,,,__@ 04021534303302,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-790220000001000-multiple-cable-driven-waste-and-overflow-for-central-outlet.html,Duravit 790220000001000 Multiple Cable Driven Waste and Overflow for Central Outlet,__@ 790220000001000,__@ $159.67,__@  27%,__@ $220.00,https://www.kbauthority.com/images/T/31/790219Chrome-01-01.jpg,"Duravit 790220000001000 Multiple Cable Driven Waste and Overflow for Central Outlet
Features:
		Chrome trim
		US version
SKU: 790220000001000","<div class="""" id=""product_fulldescr"" itemprop=""description"">
<div id=""banner-system-R"">
</div>
<p>
<strong>Duravit 790220000001000 Multiple Cable Driven Waste and Overflow for Central Outlet</strong></p>
<p>
<strong>Features:</strong></p>
<ul>
<li> 
		Chrome trim</li>
<li> 
		US version</li>
</ul>
<p>
<strong>SKU: 790220000001000 </strong></p>
</div>",,,,,,,,__@ 04021534346248,,,,,,,,,,,,,,,,,,,,,,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",
